,name,star,rating,platforms,n_ratings,genres,content,img
17,银河战士Prime2：暗黑回声 メトロイドプライム2 ダークエコーズ,45,8.4,Wii / NGC/GameCube,23,游戏 / 第一人称射击 / 冒险,@2017-11-18 09:47:31,https://img9.doubanio.com/lpic/s28397124.jpg
18,地球末日生存 Last Day on Earth: Survival,45,8.3,iPhone / iPad / Android,226,游戏 / 冒险,末日生存里比较好玩的了，画面喜欢，推上看到制作组也是很上心很靠谱，更新频率也能看出来。总之加油我先退坑了  ๑乛◡乛๑,https://img2.doubanio.com/lpic/s29493802.jpg
19,斯坦利博士的家 Dr.Stanley's House 1,45,8.3,Mac / iPhone / iPad / Android / 浏览器,363,游戏 / 益智 / 冒险,玩过的第一个解谜游戏，十一岁的我玩了三天，二十岁的我却只用了十几分钟,https://img9.doubanio.com/lpic/s28060525.jpg
0,合金装备2：固蛇 メタルギア2 ソリッドスネーク,45,8.3,FC/NES/红白机,42,游戏 / 冒险 / 动作,PS1上的MGS1完全就是MG2的3D版本.早期潜入游戏的代表作.欧美玩家直到MGS3时代才玩到的幻之名作.,https://img1.doubanio.com/lpic/s28363879.jpg
1,神奇青蛙 Amazing Frog?,45,8.3,PC / Mac,21,游戏 / 模拟 / 冒险,为什么觉得这是我见过最孤单的游戏，一个多动症在城镇里自己欢乐地玩得不亦乐乎。,https://img9.doubanio.com/lpic/s29081266.jpg
2,战地风云：叛逆连队2 Battlefield: Bad Company 2,45,8.3,PC / iPhone / iPad / Android / PS3 / Xbox 360,1984,游戏 / 第一人称射击 / 射击 / 冒险 / 动作,豆瓣上为什么只有战地2，没有3和4呢？,https://img2.doubanio.com/lpic/s25968411.jpg
3,命运交叉的客店,45,8.3,iPhone / iPad / Android / 浏览器,36,游戏 / 冒险,"之前都没有这个条目，既然有了就来补个标记，很早之前玩的了，当时很惊艳。画风诡异但和故事很搭。

各个小人物，不过是命运分岔路口的一次选择，不同时空的一次交汇，通向完全不同的结局，也成就了完全不同的人。一次次选择让你更接近事情的原貌，却发现它可能本没有什么原貌。我们和别人有多近呢，在人生不计其数的选择中，有那么一次，可能你就成了他，而我们和别人有多远呢，在这个岔路口，你选择这条路，那条路的人和事和你就再无瓜葛。",https://img9.doubanio.com/lpic/s29056016.jpg
4,画个火柴人 Draw a Stickman: EPIC,45,8.4,PC / Mac / iPhone / iPad / Android / Linux,178,游戏 / 冒险 / 益智,【谜叔实况】自己画角色和道具，还是蛮有意思的解谜游戏！就是可能有的地方操作太机械了重来几次会觉得有点烦。,https://img1.doubanio.com/lpic/s26303029.jpg
5,Adobe Illustrator CS6,45,8.4,PC / Mac,15,游戏 / 益智 / 模拟 / 冒险 / 策略,？？？？？谁把它弄到游戏条目的,https://img1.doubanio.com/lpic/s29732487.jpg
6,被错过的天堂 被錯過的天堂,45,8.3,iPhone / iPad / Android,95,游戏 / 益智 / 冒险,我创建的条目。。。有人玩这个游戏么。。。= =！,https://img1.doubanio.com/lpic/s11184279.jpg
7,比较简单的大冒险,45,8.4,iPhone / iPad / Android,58,游戏 / 横版过关 / 益智 / 冒险,我一段时间里所有快乐的来源,https://img9.doubanio.com/lpic/s29853475.jpg
8,危险时空的爱侣 Lovers in a Dangerous Spacetime,45,8.3,PC / Mac / PS4 / Xbox One / Nintendo Switch / Linux,301,游戏 / 射击 / 冒险 / 动作,那只被困兔子的叫声类似于呻吟，总是让人很不想救ta……,https://img1.doubanio.com/lpic/s29442677.jpg
9,生命线 Lifeline,45,8.3,PC / iPhone / iPad / Android,4379,游戏 / 文字冒险 / 冒险,别名 Taylor is busy,https://img2.doubanio.com/lpic/s28323853.jpg
10,拉比哩比 Rabi-Ribi,45,8.3,PC / PS4 / PSV/PS Vita / Nintendo Switch,100,游戏 / 横版过关 / 角色扮演 / 冒险,"打架的理由总是莫名其妙的，但转念一想，玩东方的时候也是不分青红皂白就打起来了。看到评论里说剧情弱智的，我玩的时候没带脑子，完全没觉得弱智。BGM不错，neurofunk很喜欢。我是奔着百合和刷成就去玩的。
全成就解锁时间：2021-04-16",https://img1.doubanio.com/lpic/s29872979.jpg
11,布莱克威尔5：显灵 Blackwell Epiphany,45,8.3,PC,26,游戏 / 冒险,總覺得不如前作，而且這結局也是略突兀...,https://img9.doubanio.com/lpic/s29657064.jpg
12,海姆达尔 Heimdallr,45,8.3,iPhone / iPad / Android,106,游戏 / 竞速 / 冒险,真是国产手游中的一股清流，没有氪金，只有有趣的解密和丰富的剧情，就是跑酷实在太难了点，最后一关的boss战别人都说特别难，我觉得比不上那个守门人芯片破解难，只可惜最后完成度还不到百分之五十，我真的喜欢艾伦,https://img9.doubanio.com/lpic/s29822894.jpg
13,英灵神殿 Valheim,45,8.3,PC,374,游戏 / 大型多人在线 / 角色扮演 / 冒险 / 动作,"青青草原 永远滴家
",https://img1.doubanio.com/lpic/s33823497.jpg
14,尼特的故事,45,8.3,PC,27,游戏 / 冒险 / 横版过关,官方关卡的音乐超好听。玩家自定义的那些个关卡感觉可以玩儿上好几年。,https://img1.doubanio.com/lpic/s11174589.jpg
15,机甲旋风,45,8.3,PC,44,游戏 / 冒险 / 动作,游戏很好玩，满满的回忆。当时还充了好几十块钱把哈迪斯皮肤搞了。,https://img9.doubanio.com/lpic/s34091745.jpg
16,糖豆人：终极淘汰赛 第三赛季 Fall Guys: Ultimate Knockout Season 3,45,8.4,PC / PS4 / Xbox One / Nintendo Switch / PS5 / XSX,31,游戏 / 竞速 / 冒险,努力做一个闸总,https://img9.doubanio.com/lpic/s33804885.jpg
17,凯瑟琳 CATHERINE キャサリン,45,8.3,PC / PS3 / Xbox 360,700,游戏 / 冒险 / 益智 / 动作,如果你爱他，就让他去玩凯瑟琳，这会是日本游戏转型的重要标志。如果你恨他，也让他去玩凯瑟琳，日本游戏的变态难度淋漓尽致,https://img2.doubanio.com/lpic/s27452552.jpg
18,乐高星球大战2：原创三部曲 LEGO Star Wars II: The Original Trilogy,45,8.3,PC / Mac / Xbox 360 / PS2 / Xbox / NGC/GameCube / PSP / NDS / GBA,38,游戏 / 横版过关 / 冒险 / 动作,接触的第一款Lego作品，坦白说没什么问题，可爱地还原了原作三部曲的很多重要场景，收集和合作要素也颇为有趣。但遗憾的是似乎觉得基本体验了乐高游戏的模板，所以对日后的乐高作品系列兴趣也不大了,https://img9.doubanio.com/lpic/s33721234.jpg
19,无尽空虚 The Endless Empty,45,8.3,PC,26,游戏 / 角色扮演 / 冒险,不吸点压根整不出来这画面,https://img3.doubanio.com/lpic/s33507310.jpg
0,没有人知道的大冒险 Another Adventure,45,8.3,PC / Mac,447,游戏 / 文字冒险 / 模拟 / 冒险,离开书店的时候，我留下了一把雨伞，希望把它拿回家的人，是你。,https://img2.doubanio.com/lpic/s29395641.jpg
1,庭格尔的蔷薇色卢比乐园 もぎたてチンクルのばら色ルッピーランド,45,8.3,NDS,76,游戏 / 角色扮演 / 冒险 / 动作,这是关于一个猥琐爱财胆小的酒糟鼻大叔和一个邪恶的通天塔的故事。,https://img2.doubanio.com/lpic/s29330003.jpg
2,量子裂痕 Quantum Break,45,8.3,PC / Xbox One,2054,游戏 / 射击 / 冒险 / 动作,就感觉哪里遇见过《信条》的设定，原来是这游戏……连逆转闸门都一样,https://img1.doubanio.com/lpic/s29846207.jpg
3,乐高蝙蝠侠2：DC超级英雄 LEGO Batman 2: DC Super Heroes,45,8.3,PC / iPhone / Wii U / PS3 / Xbox 360 / Wii / Xbox / PSV/PS Vita / 3DS / Nintendo Switch,214,游戏 / 冒险 / 动作,我重点又错了 Steve Blum有配音Ra's al Ghul / Bane / 企鹅人 / 阿福 / 小闪【这分裂得厉害】http://kuai.xunlei.com/d/BINCXVUDSKAH,https://img1.doubanio.com/lpic/s29445438.jpg
4,时空游侠 Time Commando,45,8.3,PC / PS / SS/世嘉土星,34,游戏 / 冒险 / 动作,早期3d游戏，操作十分奇怪。,https://img1.doubanio.com/lpic/s28054727.jpg
5,魔女之泉 WitchSpring,45,8.3,iPhone / iPad / Android,177,游戏 / 角色扮演 / 冒险,"1，一个女巫，四处被战士追杀，四处逃亡，同时又有许多奇遇和历险。收集5个魔女之泉，拯救世界。
2，你的不同选择会影响游戏的结局。
3，存档是个好习惯。
4，先加敏捷可以更顺滑的过关。
5，画风萌萌哒，好可爱，为什么不玩。
6，建议玩手谈汉化版的，翻译可以的。
7，第2部现在已经出",https://img1.doubanio.com/lpic/s29926989.jpg
6,"朗厄斯考博士、老虎与恶咒翡翠：旋风抢劫 Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",45,8.3,PC / Mac,44,游戏 / 冒险,免费调戏Simon二十分钟，要几星给你几星。,https://img1.doubanio.com/lpic/s28659059.jpg
